Firm,Type,Approx_AUM,USC_Connection,USC_Evidence_URL,Recruiting_Contact_Name,Recruiting_Contact_Title,Recruiting_USC_Evidence,Recruiting_Evidence_URL
Ares Management,Alternative Asset Manager,$428B+,TFA LA/NY placements; Marshall top internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Elizabeth Schwieder,"Principal, Head of Campus Recruiting",USC Trojan Talk Jan 2023; Marshall top employer; Ares HQ Los Angeles,https://calendar.usc.edu/event/trojan_talk_with_ares_management_2952
BlackRock,Asset Manager,$11T+,TFA NY placements; Marshall top internship/full-time employer,https://www.marshall.usc.edu/trojan-finance-academy,Thomas Frawley,"VP, Campus Recruiting",BlackRock campus recruiting lead; BlackRock event on USC calendar,https://www.linkedin.com/in/thomas-frawley-b865a641
Blackstone,Alternative Asset Manager,$1T+,TFA NY placements; Marshall top internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Campus Recruiting Team,Early Careers Campus Recruiting,USC Fall Webinar Series 2023-2024; contact CampusRecruiting@blackstone.com per USC event,https://calendar.usc.edu/event/2024-fall-webinar-series-blackstone-spotlight-real-estate
KKR,Private Equity,$600B+,TFA SF placements; TIS historical placements LA,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF placements; TIS historical placements LA,https://www.marshall.usc.edu/trojan-finance-academy
Apax Partners,Private Equity,$80B+,TFA NY trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Vista Equity Partners,Private Equity,$100B+,TFA Chicago trek; Marshall PCA student placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Chicago trek; Marshall PCA student placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program
Bain Capital,Private Equity / Credit,$180B+,TFA Boston trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Boston trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Point72 Asset Management,Hedge Fund,$30B+,TFA NY placements; USC Trojan Talk,https://www.marshall.usc.edu/trojan-finance-academy,Point72 Academy Campus Team,Academy internship recruiting,Point72 Academy USC info session,https://calendar.usc.edu/event/point72_academy_2024_summer_internship_information_session
D.E. Shaw & Co.,Hedge Fund,$60B+,TFA NY placements; TIS Class of 2025 placement,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY placements; TIS Class of 2025 placement,https://trojaninvestingsociety.com/historical-placements
Alyeska Investment Group,Hedge Fund,$42B,TFA Chicago trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Chicago trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Oaktree Capital Management,Alternative Credit,$200B+,Marshall internship employer; USC Trojan Talk,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf,Early Talent / Campus Recruiting,Recruiting team,USC Virtual Trojan Talk Mar 2021; Marshall internship employer,https://calendar.usc.edu/event/virtual_trojan_talk_with_oaktree_capital_management
